tempMLX,FSR_A1,FSR_A2,FSR_A3,FSR_B1,FSR_B2,FSR_B3,FSR_C,porcAper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.53,0.0,208.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
