tempMLX,FSR_A1,FSR_A2,FSR_A3,FSR_B1,FSR_B2,FSR_B3,FSR_C,porcAper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.91,0.0,0.0,0.0,144.0,0.0,0.0,0.0,15.0
25.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.55,0.0,0.0,0.0,0.0,272.0,0.0,0.0,15.0
25.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
