No. segment,WL,MWL,IEMG,Variance,Skewness,Kurtosis,DASDV
1,0.0116618075801749,0.0233236151603499,6.07725947521866,1.06345254743099e-06,0.328097169632467,2.58822667041229,0.000217607396752792
1,0.0102040816326531,0.0204081632653061,6.11224489795918,9.83741699243083e-07,0.25413205022152,2.52609046778246,0.000203553080869183
1,0.00583090379008747,0.0116618075801749,6.01603498542275,5.29942315995116e-07,0.144822639278977,1.02097359684774,0.000153871665880251
1,0.00728862973760933,0.0145772594752187,6.15597667638483,7.62761130009291e-07,0.184273592195242,2.43415231302279,0.000172033752359688
1,0.0087463556851312,0.0174927113702624,5.98833819241983,1.64051765445468e-06,-0.184383436812216,2.19516957240152,0.000188453533639317
1,0.0116618075801749,0.0233236151603499,5.9795918367347,2.01243584463834e-06,0.0532273258326278,1.99991156135208,0.000217607396752792
1,0.0116618075801749,0.0233236151603499,6.0801749271137,2.07956855774709e-06,-0.429994965257673,2.0948303011495,0.000217607396752792
1,0.0102040816326531,0.0204081632653061,5.99854227405247,1.74178397334687e-06,-0.367699681625425,2.08623064871972,0.000203553080869183
1,0.00728862973760933,0.0145772594752187,6.09037900874637,9.46993814403984e-07,0.0320044911505801,2.74704817341987,0.000172033752359688
1,0.00728862973760933,0.0145772594752187,6.02332361516036,8.03948356641035e-07,-0.382865911689502,2.62000328510049,0.000172033752359688
1,0.0131195335276968,0.0262390670553936,5.91107871720117,1.38466358913868e-06,-0.0997522730344748,3.15353495891871,0.000230807498820376
1,0.0189504373177843,0.0379008746355685,6.13702623906705,4.12201106450237e-06,1.05788656767914,4.30633119964539,0.000277396090586153
1,0.0233236151603499,0.0466472303206997,7.13848396501458,2.20321409187618e-05,0.687390091063588,2.01360040166829,0.000307743331760501
1,0.0233236151603499,0.0451895043731778,8.10204081632653,2.44853705193963e-05,-0.26850091186234,1.49776574833747,0.000307743331760501
1,0.0204081632653061,0.0408163265306122,8.50437317784257,1.39856366155164e-05,-0.17646487082667,1.42565502404367,0.000287867527628026
1,0.0174927113702624,0.0335276967930029,8.67055393586006,1.06060150347971e-05,-0.14120208003174,1.43460188607136,0.000266513543149856
1,0.0145772594752187,0.0291545189504373,8.21137026239067,7.41190861499037e-06,0.686845989689244,2.34548617000711,0.000243292465773005
1,0.0116618075801749,0.0233236151603499,7.65597667638485,1.47478222752933e-06,0.0207724172479884,2.40161326945837,0.000217607396752792
1,0.0102040816326531,0.0204081632653061,7.50583090379009,2.16638235280322e-06,-0.226104279083291,2.43947311221613,0.000203553080869183
1,0.0145772594752187,0.0291545189504373,7.14285714285714,4.22362266553397e-06,-0.621490755595559,2.5913729286813,0.000243292465773005
