No. segment,WL,MWL,IEMG,Variance,Skewness,Kurtosis,DASDV
1,0.0100671140939597,0.0201342281879195,10.238255033557,2.81597268009334e-06,0.100125234864368,1.01002506265664,0.000306758876846983
1,0.00671140939597316,0.0134228187919463,10.0704697986577,2.5197287643683e-06,0.693889589342495,1.48148276219789,0.000250467574114791
1,0.0134228187919463,0.0268456375838926,10.3657718120805,5.19637967350743e-06,0.747696060351938,2.41306526421318,0.000354214640247825
1,0.0201342281879195,0.0402684563758389,10.1912751677852,5.53723443771812e-06,1.05308161383056,3.13569851120122,0.000433822564015341
1,0.0268456375838926,0.0536912751677852,10.4261744966443,7.6492792957107e-06,0.385807210024369,2.16120873649333,0.000500935148229581
1,0.0536912751677852,0.10738255033557,11.4261744966443,3.31666846295036e-05,1.84557683512944,6.91280120443832,0.00070842928049565
1,0.104026845637584,0.13758389261745,14.261744966443,0.000234072773481962,1.37274618430713,4.9043483808198,0.00110603485967554
1,0.426174496644295,0.345637583892618,35.4865771812081,0.0104861262805422,1.39105219714856,3.2857438728448,0.00234290962208489
1,0.593959731543624,0.573825503355705,48.748322147651,0.0101201305150318,0.669984460217634,2.02772894505993,0.00265660980185869
1,0.60738255033557,0.604026845637584,55.0201342281879,0.00763313783604847,0.759710961545341,2.31842597759068,0.00268012008139515
1,0.590604026845638,0.64765100671141,58.9295302013423,0.00601868996242386,1.00867278772965,2.59800541832392,0.00259085673244883
1,0.328859060402685,0.546979865771812,44.7382550335571,0.00171118292621264,1.84071613228776,5.7119848586744,0.00175327301880353
1,0.171140939597315,0.342281879194631,36.9697986577181,0.000191784041642777,0.341527501411181,2.32488982131697,0.00126479925083595
1,0.140939597315436,0.281879194630873,36.6778523489933,0.000167972042827363,0.499368748149023,2.97977069757675,0.00114778661751299
1,0.130872483221476,0.261744966442953,34.7885906040269,0.000198684782267902,0.755045386976411,3.2275381065376,0.00110603485967554
1,0.110738255033557,0.221476510067114,33.3624161073825,8.51645494148862e-05,-0.0717985578352781,1.90581037696003,0.00101740409561228
1,0.10738255033557,0.214765100671141,31.1845637583893,0.00021644896154379,-0.246193664178457,1.81719789386189,0.00100187029645916
1,0.104026845637584,0.208053691275168,27.1040268456376,0.000198883439952564,0.211413465131787,1.65195389368855,0.000986091825382249
1,0.0838926174496644,0.167785234899329,25.3825503355705,0.00016204054259004,1.02128466465273,2.74884188933748,0.000885536600619563
1,0.0704697986577181,0.13758389261745,23.6711409395973,3.27091620408353e-05,0.226924449437418,2.26331284161509,0.000811607700598605
1,0.0671140939597315,0.134228187919463,22.8825503355705,4.37185443853755e-05,0.300090761369446,2.22354848691754,0.00079204801421977
1,0.0805369127516778,0.161073825503356,22.8020134228188,4.79091759649964e-05,0.192770760721083,2.14822703196736,0.000867645128030681
1,0.100671140939597,0.201342281879195,21.3959731543624,8.29329614238422e-05,0.157441990087468,2.51328668884062,0.000970056743311556
1,0.13758389261745,0.271812080536913,20.1140939597315,7.75988283295227e-05,-0.209550117671361,3.11589146067131,0.0011340401741122
1,0.144295302013423,0.288590604026846,19.2214765100671,9.07496185319376e-05,0.135551710863433,2.69348394065624,0.00116137036391643
1,0.130872483221477,0.261744966442953,18.1644295302013,8.84088559448926e-05,0.826432993547574,3.40941505153629,0.00110603485967554
1,0.110738255033557,0.218120805369128,17.7718120805369,8.544232165116e-05,1.10951209974348,4.05115880090393,0.00101740409561228
1,0.0805369127516778,0.161073825503356,15.9832214765101,3.7573400006477e-05,-0.334974876526108,2.32651246470988,0.000867645128030681
1,0.0838926174496644,0.167785234899329,15.4832214765101,3.11129301184581e-05,-0.388857032650204,2.31326224523694,0.000885536600619563
1,0.0771812080536913,0.154362416107383,14.6174496644295,2.88701894152927e-05,0.346216348222214,2.20509477484704,0.000849376868859697
1,0.0604026845637584,0.11744966442953,13.6174496644296,1.91126118758177e-05,0.917253849682499,3.31939407073684,0.000751402722344372
1,0.0402684563758389,0.0805369127516778,13.8389261744967,1.80450882124462e-05,0.854926615774736,2.89474221152899,0.000613517753693965
1,0.0402684563758389,0.0805369127516779,14.1610738255034,3.26286534002089e-05,1.76140758752037,6.31224779240694,0.000613517753693965
1,0.0738255033557047,0.147651006711409,15.9261744966443,9.7736444153749e-05,0.941213105368858,2.80411024711012,0.000830706965489293
1,0.0973154362416107,0.194630872483221,16.3355704697987,8.41834592704556e-05,0.992382179789054,2.9782567735837,0.000953752107417199
1,0.12751677852349,0.25503355704698,17.4765100671141,9.04498893936746e-05,0.370581833088386,1.95654331609231,0.00109176284420016
1,0.120805369127517,0.241610738255034,17.3187919463087,8.68342324022505e-05,0.455393817143433,2.18696155434053,0.00106264392074348
1,0.0805369127516778,0.161073825503356,16.4697986577181,4.64733514099281e-05,0.480256874692223,3.08932312682803,0.000867645128030681
1,0.0570469798657718,0.114093959731544,17.1543624161074,2.83432237675561e-05,0.813762983436099,4.56985338857055,0.000730232187940972
1,0.0302013422818792,0.0604026845637584,16.9328859060402,1.08498462828658e-05,-1.00660122376103,5.40443635730861,0.000531321960371738
1,0.023489932885906,0.0469798657718121,16.738255033557,1.16211260305123e-05,-0.458616672726236,3.47214736293983,0.000468581924416978
1,0.0302013422818792,0.0604026845637584,16.3087248322148,1.56207674150541e-05,0.112681124347826,2.38423573813324,0.000531321960371738
1,0.0469798657718121,0.0939597315436241,15.768456375839,1.86946465629551e-05,0.699713197037289,2.59628375375579,0.000662674912593374
1,0.0369127516778523,0.0738255033557047,15.4395973154362,8.70948399175251e-06,-0.00164153584559019,2.0059252972477,0.000587398528476378
