No. segment,WL,MWL,IEMG,Variance,Skewness,Kurtosis,DASDV
2,0.0116618075801749,0.0233236151603499,5.6661807580175,1.55197744870141e-06,0.18548524907384,1.78760040025366,0.000217607396752792
2,0.0102040816326531,0.0204081632653061,5.99125364431486,1.84380662454446e-06,-0.108423713578,2.07406558128869,0.000203553080869183
2,0.0102040816326531,0.0204081632653061,6.00728862973761,1.95921306914654e-06,-0.256122351536895,1.98732369269759,0.000203553080869183
2,0.0160349854227405,0.032069970845481,6.07725947521866,2.70896857190405e-06,-0.68318770487476,3.19558066058463,0.000255167290795861
2,0.0204081632653061,0.0393586005830904,6.34839650145773,4.65004610772731e-06,-0.405393832474501,2.75287732013092,0.000287867527628026
2,0.0262390670553936,0.0524781341107872,6.7201166180758,9.22429456484689e-06,-0.0882975256517024,2.22519878765359,0.000326411095129188
2,0.0291545189504373,0.0583090379008746,6.8935860058309,8.04012480466929e-06,-0.485336309380006,2.92733230843409,0.000344067504719375
2,0.0408163265306122,0.0816326530612245,7.95043731778425,2.02072919278726e-05,2.15491484777593,7.83772871318902,0.000407106161738366
2,0.0553935860058309,0.110787172011662,10.5787172011662,0.000151482032231705,0.888341623440344,2.10675364541581,0.00047426432590619
2,0.0743440233236152,0.147230320699708,11.3629737609329,0.000155114137266379,0.455326739258403,1.61998167837156,0.000549431744532234
2,0.075801749271137,0.151603498542274,11.2973760932945,0.000160051425230097,0.427357157468909,1.6177710766361,0.000554792181172306
2,0.0670553935860058,0.134110787172012,11.1516034985423,0.000159174079755817,0.512530569601196,1.69938192648615,0.000521804206526528
2,0.0568513119533528,0.113702623906706,9.87317784256559,6.78244447700751e-05,0.39320254959998,2.0688078102493,0.000480464122716196
2,0.0670553935860058,0.134110787172012,10.5014577259475,9.06096624769356e-05,0.390794509958741,2.07968658037985,0.000521804206526528
2,0.0743440233236152,0.14868804664723,10.5087463556851,9.21771611799046e-05,0.321597841589819,2.11517618583162,0.000549431744532234
2,0.097667638483965,0.19533527696793,11.7711370262391,0.000108345178220684,-0.297906323495021,1.88894291806803,0.00062974693341277
2,0.0991253644314869,0.196793002915452,11.100583090379,0.000108856195787037,0.176931619204901,1.81317800095712,0.000634429131214022
2,0.0801749271137026,0.158892128279883,11.2492711370262,0.000101137265582069,-0.015272029705571,1.79657198332625,0.000570571407854002
2,0.0685131195335277,0.135568513119534,13.8819241982507,6.71299344096261e-05,-0.324708576565146,1.54108862442923,0.000527445497031656
2,0.0451895043731778,0.0903790087463557,14.7915451895044,8.78784314280417e-05,-0.51199275978404,1.79778455696839,0.000428360588868674
2,0.0568513119533528,0.112244897959184,18.7142857142857,0.000157926065683859,0.762892494110888,2.87947322658955,0.000480464122716196
2,0.0816326530612245,0.163265306122449,20.7959183673469,0.000160740411076315,0.677666166630346,1.9375429763769,0.000575735055256051
2,0.0947521865889213,0.189504373177843,20.9314868804665,0.000159178995915803,0.584786757833414,1.93539311426311,0.000620276515243328
4,0.100583090379009,0.199708454810496,17.030612244898,7.37830279762005e-05,0.687498255872134,2.12273084002322,0.000639077025813923
4,0.0830903790087464,0.166180758017493,15.5612244897959,6.32020047914954e-05,1.05711516055051,3.16898785580861,0.000580852800837596
4,0.0903790087463557,0.180758017492711,15.9489795918367,7.1537181405309e-05,0.688379356206546,2.30511879054675,0.000605793354364204
4,0.0685131195335277,0.135568513119533,14.8965014577259,3.81033474244487e-05,0.903255249451223,2.88132680746965,0.000527445497031656
4,0.075801749271137,0.150145772594752,15.3381924198251,5.30786777456117e-05,0.637961939106311,2.08075096671527,0.000554792181172306
4,0.0889212827988338,0.177842565597668,18.1603498542274,0.000134636292119255,0.457625776075277,1.96453835808545,0.000600888064286222
4,0.0903790087463557,0.177842565597668,18.2040816326531,0.000136927979004657,0.442322205766821,1.89234923363585,0.000605793354364204
4,0.110787172011662,0.221574344023324,19.0612244897959,0.000116302599731957,0.181401841343319,1.88836583062559,0.000670711041846268
4,0.119533527696793,0.239067055393586,18.4577259475219,0.00014482507479357,0.171873644396937,1.82867927474143,0.000696683598196234
4,0.113702623906706,0.225947521865889,16.8396501457726,6.64549078270447e-05,0.0570646864987778,1.98716288853954,0.000679478878578936
4,0.106413994169096,0.212827988338192,18.4285714285714,0.000134193015620256,0.0906589719440877,1.81352577057129,0.000657340044789554
4,0.0932944606413994,0.185131195335277,18.9241982507289,0.000133716855107979,-0.100336834864381,1.80746214790649,0.000615486663521002
4,0.0874635568513119,0.173469387755102,19.8906705539359,8.23562848461531e-05,0.0241098590552427,1.86120738235315,0.000595942399407402
4,0.0830903790087463,0.166180758017493,19.6297376093294,9.00818740638102e-05,0.098733945868698,1.80300780712557,0.000580852800837595
4,0.0918367346938775,0.183673469387755,17.7492711370262,6.12784379927431e-05,0.115414128593219,2.17238823963925,0.000610659242607548
4,0.0801749271137026,0.160349854227405,17.2565597667638,3.97830134967119e-05,-0.214630215154959,2.11904703918929,0.000570571407854002
4,0.0568513119533528,0.113702623906706,16.7259475218659,3.18100871731778e-05,0.194415342603985,2.5576984844824,0.000480464122716196
4,0.0728862973760933,0.144314868804665,17.3804664723032,4.28299639570958e-05,0.148874738331663,2.36286098116778,0.00054401849188198
4,0.104956268221574,0.208454810495627,16.7434402332362,6.39193530991666e-05,-0.535506454041309,3.47885131384821,0.000652822190258376
4,0.147230320699708,0.293002915451895,16.4373177842566,0.000108962887968121,-0.147427582796152,2.55178298340629,0.000773195551855595
4,0.164723032069971,0.329446064139941,15.5466472303207,0.000144251232319848,0.149799207856335,1.84299430505622,0.000817839122377726
4,0.157434402332362,0.313411078717201,15.1034985422741,0.000119694503491636,0.228399563643816,2.21887424942971,0.00079954062944957
4,0.10932944606414,0.217201166180758,14.7288629737609,0.00011362584105106,0.554215839647638,2.44346418712547,0.000666283857874641
6,0.075801749271137,0.151603498542274,14.8090379008746,9.56036753635595e-05,0.0184866843556845,1.5548307578407,0.000554792181172306
6,0.065597667638484,0.131195335276968,14.798833819242,9.48101347971212e-05,-0.0261827865239724,1.47382616909832,0.000516101257079063
6,0.0743440233236152,0.147230320699708,14.9489795918367,0.000118547772180577,0.486373721780288,2.47212310144477,0.000549431744532234
6,0.0772594752186589,0.154518950437318,16.7419825072886,0.000147040454326159,-0.0723466805129373,2.10554167808111,0.00056010131822744
6,0.0728862973760933,0.144314868804665,18.0043731778426,6.39192708891334e-05,0.847281280619041,2.85297328437918,0.00054401849188198
6,0.0670553935860058,0.134110787172012,18.3586005830904,5.6349453242378e-05,0.867530790215457,2.73675829225536,0.000521804206526529
6,0.0510204081632653,0.102040816326531,17.9344023323615,3.90778980419804e-05,1.14441171370978,4.10794626068759,0.000455158525853005
6,0.0422740524781341,0.0830903790087464,17.0481049562682,1.38029823637591e-05,0.319950870334923,1.8172652019193,0.000414312139956742
6,0.0481049562682216,0.0962099125364432,17.1326530612245,1.54855915552107e-05,-0.175307120255263,2.17000767453148,0.000441962712088134
6,0.043731778425656,0.087463556851312,15.8644314868805,3.82130484927469e-05,-0.472540583780769,2.18732800981183,0.000421394911817556
6,0.0510204081632653,0.102040816326531,14.6399416909621,3.69305719748722e-05,-0.0587836370935531,2.05281933802736,0.000455158525853005
6,0.0510204081632653,0.102040816326531,13.6749271137026,2.61848656516666e-05,0.642453528853764,2.97778695585146,0.000455158525853005
6,0.0466472303206997,0.0918367346938776,13.064139941691,9.39950058759654e-06,-0.276060679117226,2.56355456024554,0.000435214793505584
6,0.0524781341107872,0.104956268221574,13.8790087463557,2.40493778293389e-05,0.710763817196232,3.36086235555383,0.000461614997640752
6,0.0612244897959184,0.120991253644315,15.0816326530612,4.49347545530277e-05,0.686131848176658,2.15943649590617,0.000498601183700978
6,0.0612244897959184,0.120991253644315,15.3279883381924,3.89559641207425e-05,0.728443628922577,2.20070422539657,0.000498601183700978
6,0.0889212827988338,0.177842565597668,16.667638483965,5.20613779108176e-05,0.172521569259211,1.89484886106731,0.000600888064286222
6,0.0889212827988338,0.176384839650146,15.4052478134111,9.93731204796929e-05,0.0796010707245686,1.76192198645858,0.000600888064286222
6,0.0918367346938775,0.180758017492711,14.5947521865889,8.23773470566581e-05,0.505512907778528,2.43496568721868,0.000610659242607548
6,0.0991253644314869,0.196793002915452,14.5233236151604,8.527664829742e-05,0.51380594919744,2.34261748687093,0.000634429131214022
6,0.0743440233236152,0.14868804664723,13.5597667638484,3.59447914668059e-05,-0.0864184860729671,1.8470657257719,0.000549431744532234
6,0.0612244897959184,0.122448979591837,14.332361516035,1.62015587343242e-05,0.0509421065814652,2.64975920721448,0.000498601183700978
6,0.0349854227405248,0.0699708454810496,14.2157434402332,9.56030341253004e-06,0.427062589975266,4.16836703902032,0.000376907067278634
8,0.0524781341107872,0.104956268221574,22.3833819241983,3.08954347858336e-05,-0.387667955379336,2.46058366246938,0.000461614997640752
8,0.0495626822157434,0.097667638483965,21.0014577259475,6.09247211039093e-05,-0.528181600261843,2.05474303398229,0.000448609140863725
8,0.0320699708454811,0.0641399416909621,20.1501457725947,7.22144605428e-05,0.00515140597204249,1.47189050722376,0.000360861043317506
8,0.0335276967930029,0.0670553935860058,18.4606413994169,3.75309189632974e-05,0.766788146159955,2.37020201764197,0.000368971292886574
8,0.0335276967930029,0.065597667638484,16.8556851311953,1.18729538563975e-05,0.361498137843953,2.74771438242944,0.000368971292886574
8,0.021865889212828,0.043731778425656,16.301749271137,1.08055387853665e-05,-0.123328831751592,1.90727312379456,0.000297971199703701
8,0.0276967930029154,0.0553935860058309,15.8790087463557,1.0009087983753e-05,0.103220970790544,2.21300745013579,0.000335355520923134
8,0.0335276967930029,0.0670553935860058,15.7886297376093,9.65012609480121e-06,0.26275000544727,2.34834242251582,0.000368971292886574
8,0.0335276967930029,0.0670553935860058,15.2157434402332,2.0764215576763e-05,-0.0200477045147278,1.90544746120908,0.000368971292886574
8,0.032069970845481,0.0641399416909621,14.4169096209912,3.60458111555984e-05,0.249177104233117,1.58045671949954,0.000360861043317506
8,0.0291545189504373,0.0583090379008746,13.9212827988338,3.03161006818937e-05,0.802635002246019,2.39560400094063,0.000344067504719375
8,0.0233236151603498,0.0466472303206997,13.3644314868805,9.92991972178419e-06,-0.0323701744726672,1.65238166383887,0.000307743331760501
8,0.0233236151603498,0.0466472303206997,14.0145772594752,1.82118900021127e-05,-0.0488033140817289,2.14767860217645,0.000307743331760501
8,0.0335276967930029,0.0670553935860058,14.9067055393586,1.30859300122074e-05,0.416199961457985,2.74203202203352,0.000368971292886574
8,0.032069970845481,0.0641399416909621,14.4985422740525,2.40797133315886e-05,-0.139132984452106,2.33616822973313,0.000360861043317506
8,0.0466472303206997,0.0932944606413994,13.9008746355685,3.70534430904886e-05,0.0423180099879184,1.87419868047925,0.000435214793505584
8,0.0466472303206997,0.0932944606413994,14.1559766763848,4.49425645061815e-05,-0.0173082761172672,1.58466911425787,0.000435214793505584
8,0.0349854227405248,0.0699708454810496,14.1399416909621,3.93674253368939e-05,-0.237291823967409,1.66419960677181,0.000376907067278634
8,0.0364431486880466,0.0728862973760933,14.7069970845481,2.84992425062312e-05,-0.889937288489384,3.1607609276071,0.000384679164700626
8,0.0408163265306122,0.0801749271137026,15.7434402332362,1.11871413174607e-05,0.169032270531997,2.20045351473923,0.000407106161738366
8,0.0568513119533528,0.112244897959184,15.0524781341108,1.70819953058518e-05,-0.0728147788408759,3.05657870368313,0.000480464122716196
8,0.0685131195335277,0.137026239067055,14.7332361516035,2.0923949671265e-05,0.278905412709659,2.4021852065611,0.000527445497031656
8,0.0699708454810496,0.138483965014577,14.7711370262391,2.05701176883846e-05,0.228293812848317,2.45299977362676,0.000533027086299713
10,0.0379008746355685,0.075801749271137,20.6909620991254,0.000167914387413227,-0.440087409690551,1.66673589981005,0.000392297313456213
10,0.0481049562682216,0.0962099125364431,17.5918367346939,0.000149077964230922,0.270249820491602,1.46121024446833,0.000441962712088134
10,0.0510204081632653,0.102040816326531,15.2230320699708,6.60750152636408e-05,1.29399138502616,3.85331920390658,0.000455158525853005
10,0.0364431486880466,0.0728862973760933,13.3965014577259,1.19194682931805e-05,0.241185813627707,2.06599185322932,0.000384679164700626
10,0.0335276967930029,0.0670553935860058,12.5714285714286,1.76702903034102e-05,0.330602773627692,2.12801410256682,0.000368971292886574
10,0.0276967930029154,0.0553935860058309,12.6938775510204,1.77878835348954e-05,0.020115240866522,1.73492213580052,0.000335355520923134
10,0.0291545189504373,0.0583090379008746,13.0466472303207,2.7234210957401e-05,0.128888876343152,1.65981733478957,0.000344067504719375
10,0.0379008746355685,0.075801749271137,13.3556851311953,2.88326370748587e-05,-0.215135165991277,1.61124875094433,0.000392297313456213
10,0.0379008746355685,0.075801749271137,13.2040816326531,3.55896441233944e-05,-0.353551509742653,1.70177378437073,0.000392297313456213
10,0.0466472303206997,0.0932944606413994,12.7609329446064,3.86867920300485e-05,0.161854714754479,1.53541913833372,0.000435214793505583
10,0.087463556851312,0.173469387755102,14.1618075801749,0.00015306217483778,1.03336711430152,2.86492382835417,0.000595942399407403
10,0.100583090379009,0.199708454810496,14.7915451895044,0.00015759385493971,0.647026548435951,2.27516401271051,0.000639077025813923
10,0.110787172011662,0.221574344023324,16.0204081632653,0.000107300206488716,0.641209644300917,2.77202914529156,0.000670711041846268
10,0.103498542274052,0.205539358600583,16.6428571428572,7.45426486829417e-05,1.16566614910648,3.47817723039878,0.000648272851277571
10,0.0699708454810496,0.139941690962099,15.3192419825073,1.89516980908534e-05,0.645488533768899,2.45524162770397,0.000533027086299713
10,0.0641399416909621,0.128279883381924,16.5612244897959,6.2605225718511e-05,0.759647186389631,2.22410342576621,0.000510334581591722
10,0.0597667638483965,0.119533527696793,16.9183673469388,5.68085140677506e-05,0.610377029816823,2.16944664965611,0.000492629696626001
10,0.0597667638483965,0.119533527696793,17.5874635568513,4.44285216106067e-05,0.334210928563542,2.35212797108612,0.000492629696626001
10,0.0510204081632653,0.100583090379009,18.2798833819242,3.03177448825576e-05,0.279226417439222,2.56849849231276,0.000455158525853005
10,0.043731778425656,0.0860058309037901,16.7769679300292,2.21532856236811e-05,-0.422944328294608,2.20515633103083,0.000421394911817556
10,0.0481049562682216,0.0962099125364432,15.8673469387755,4.57603241483996e-05,-0.342708327220116,1.85382014684951,0.000441962712088134
10,0.043731778425656,0.087463556851312,15.6443148688047,4.00556219667934e-05,-0.269287352453085,2.09609587593804,0.000421394911817556
10,0.0393586005830904,0.0772594752186589,14.8586005830904,1.9814443063237e-05,-0.754357523627005,2.48861735159316,0.000399770314724785
12,0.154518950437318,0.24198250728863,31.1501457725948,0.000165929426161683,0.708690855013762,3.95335849937271,0.000792102880540294
12,0.103498542274052,0.206997084548105,29.1399416909621,0.000104778660350495,-0.448056522596843,2.9472852890302,0.000648272851277571
12,0.0787172011661807,0.15597667638484,26.2696793002915,0.000273935652415496,-0.224039238586109,1.72552692144488,0.000565360600917951
12,0.0626822157434402,0.12536443148688,22.6618075801749,0.000281619413168263,0.58384367735713,1.89430779147827,0.000504501994820841
12,0.0451895043731778,0.0903790087463557,19.6472303206997,8.42685066603241e-05,1.34177160803823,3.54858703432635,0.000428360588868674
12,0.0276967930029155,0.0553935860058309,17.8177842565598,7.21065845372388e-06,0.149767404821942,1.97225388338095,0.000335355520923134
12,0.0408163265306122,0.0816326530612245,18.0801749271137,1.95757051268326e-05,1.28625018331671,4.68021251333293,0.000407106161738366
12,0.0670553935860058,0.134110787172012,18.4883381924198,4.58842311104343e-05,0.474956714188411,3.37184140845712,0.000521804206526528
12,0.0699708454810496,0.139941690962099,17.7478134110787,5.27231851200608e-05,0.995702934537252,3.51266418352554,0.000533027086299713
12,0.0685131195335277,0.137026239067055,17.5116618075802,5.50351943256694e-05,1.16294110345843,3.61297909013823,0.000527445497031656
12,0.0626822157434402,0.12536443148688,17.7186588921283,5.60477588625514e-05,0.839968726699678,2.8923994791424,0.00050450199482084
12,0.0379008746355685,0.075801749271137,18.137026239067,3.85018523393683e-05,0.392374166768113,1.7062707699404,0.000392297313456213
12,0.0641399416909621,0.126822157434402,19.3790087463557,4.5459583404958e-05,0.137854932035671,1.86833863038612,0.000510334581591722
12,0.0932944606413994,0.186588921282799,19.3236151603498,5.59985808206928e-05,-0.355976212286114,2.42416385708058,0.000615486663521002
12,0.0874635568513119,0.174927113702624,19.067055393586,4.9898201749309e-05,-0.150645212089065,2.83637407496528,0.000595942399407402
12,0.10932944606414,0.217201166180758,19.5947521865889,6.84170968993929e-05,-0.0627115960869247,2.3940146146111,0.000666283857874641
12,0.106413994169096,0.212827988338192,18.2871720116618,7.1624915952737e-05,0.370100080789769,2.54943962982649,0.000657340044789554
12,0.075801749271137,0.151603498542274,19.0481049562682,5.21427165176628e-05,0.148856986746526,3.37701628181969,0.000554792181172306
12,0.0787172011661808,0.157434402332362,19.0291545189504,5.41685854817254e-05,0.133655392281083,3.15963177033283,0.000565360600917951
12,0.0568513119533528,0.112244897959184,17.5262390670554,2.50035403586376e-05,-0.50086086951748,2.12064241087049,0.000480464122716196
12,0.0568513119533528,0.110787172011662,18.6793002915452,2.67946174678895e-05,0.0611509675812563,2.76923092185231,0.000480464122716196
